idEditeur;libelleEditeur;editeurOnly;exposantOnly
193;404 Editions;1;
205;A.L.F.;;1
98;Abysse Corp;1;
97;Act in Games;;
99;Ankama;;
196;Arborel;1;
100;Asmodee;;1
101;Asyncron;1;
102;Atalia;;1
218;Aurora;;
109;Bankiiiz Editions;;
126;Bioviva;;
118;Blackrock Games;;1
135;Blam!;;
107;Blue Cocker Games;;
104;Blue Orange;;
139;Bombyx;;
200;Bragelonne;;
176;Brain Games;;
187;Buzzy Games;1;
188;Capsicum Games;1;
125;Captain Macaque;;
197;Cartamundi;;
171;Casus Belli Diffusion;;
130;Catch Up Games;;
190;Chouic;;
128;Cocktail Games;;
189;Cool Mini or Not;1;
105;Days of Wonder;;
170;Deal Prod;;
208;Débacle jeux;;
227;Delicious games;;
140;Devil Pig Games;;
133;Djeco;;
141;Docteur Pilule;;
201;Don't Panic Games;;
202;DTDA;;
224;DV Giochi;1;
142;Edge;;1
115;Edition 404;1;
194;Editions Pera;1;
238;Explor8;;
220;Faire Play Editions;1;
178;Fantasy Flight Games;1;
182;Ferti;;
211;Flatlined Games;;
110;Flip Flap Editions;1;
180;Fun Consortium;;
122;Fun Forge;;
229;Funny Fox;;
210;Game Brewer;;
226;Game Factory;;
127;Game Flow;;
181;Gameworks;1;
143;Geek Attitude Games;;
138;Gigamic;;
144;Goliath;;
113;Grain de Créa;;1
206;Grrre Games;;
123;Haba;;
230;Holy Grail;;
145;Hurrican Edition;;
235;I{Cœur}Games;1;
146;Iello;;
131;Igiari;;
147;Ilopeli;;
148;Intrafin;;
116;Jeux Opla;;
237;Kosmos;;
239;KYF Editions;;
149;La Boite de Jeu;;
191;La Haute Roche;;
119;Le Droit de Perdre;;
150;Letheia;;
124;Libellud;;
207;Lifestyle boardgames;;
198;Live Corp;;1
228;Loki;;
175;Lucky Duck Games;;
192;Ludact;;
195;Ludarden;1;
232;Ludiconcept;;
216;Ludo.tech;;1
111;Ludonaute;;
137;Lui-même;;
151;Lumberjack;;
152;Mad Moon Distribution;;1
234;Magilano;1;
233;Mandoo Games;1;
153;Matagot;;
203;Maze Games;1;
154;Monolith;;
183;Morning Family;;1
134;Morning Player;;1
177;Nut’s Publishing ;;
231;Oink Games;1;
212;Oka Luda;;
184;Old Casa Games;1;
117;Old Chap;;
155;Origames;;
157;Oya;;
114;OZ éditions;1;
112;Paille Editions;;1
158;Pearl Games;;
159;Piatnik;;1
185;Pink Monkey Games;;
160;Pixie Games;;
217;Poptalks;;
169;Prizonners;;1
106;Purple Brain Creations;1;
173;Queen Games;;
161;Ravensburger;;
168;Renegade France;;
162;Repos Prod;;
172;Roussignol Editions;;
163;Runes Editions;;
236;Sand Castle Games;1;
222;Schmidt Spiele;;
129;Scorpion Masqué;;
174;Sit Down!;;
164;Smart Games;;
214;Smile Life;;
199;Sorry we are french;;
165;Space Cowboy;;
221;Spin Master;;
223;Studio H;;
215;Subverti;;
136;Super Meeple;;
166;Superlude;;
209;Surfinmeeple;;
167;Sweet November;;
225;Sylex Edition;;
186;Tactic;;
132;The Flying Games;;
103;Tiki;1;
219;Tu te mets combien ?;;
204;Weelingua;1;
179;Z-Man Games;1;